FID	IID	Population
4461875526_R02C02	4461875526_R02C02	Belarus
4461875527_R01C01	4461875527_R01C01	Belarus
4461875527_R01C02	4461875527_R01C02	Belarus
4461875527_R02C01	4461875527_R02C01	Belarus
4461875527_R02C02	4461875527_R02C02	Belarus
4461875536_R01C01	4461875536_R01C01	Belarus
4461875536_R01C02	4461875536_R01C02	Belarus
4461875070_R01C01	4461875070_R01C01	Chechen
4461875070_R01C02	4461875070_R01C02	Chechen
4461875070_R02C02	4461875070_R02C02	Chechen
4461875071_R02C02	4461875071_R02C02	Chechen
4461875089_R01C01	4461875089_R01C01	Chechen
4461875089_R01C02	4461875089_R01C02	Chechen
4461875089_R02C01	4461875089_R02C01	Chechen
4461875089_R02C02	4461875089_R02C02	Chechen
4461875202_R02C01	4461875202_R02C01	Chechen
4461875203_R01C01	4461875203_R01C01	Chechen
4461875203_R01C02	4461875203_R01C02	Chechen
4461875203_R02C01	4461875203_R02C01	Chechen
4461875219_R01C01	4461875219_R01C01	Chechen
4461875219_R01C02	4461875219_R01C02	Chechen
4461875219_R02C01	4461875219_R02C01	Chechen
4461875219_R02C02	4461875219_R02C02	Chechen
4461875231_R01C01	4461875231_R01C01	Chechen
4461875231_R01C02	4461875231_R01C02	Chechen
4461875232_R01C01	4461875232_R01C01	Adygei
4461875232_R01C02	4461875232_R01C02	Adygei
4461875232_R02C01	4461875232_R02C01	Adygei
4461875232_R02C02	4461875232_R02C02	Adygei
4461875247_R01C01	4461875247_R01C01	Adygei
4461875247_R01C02	4461875247_R01C02	Adygei
4461875247_R02C01	4461875247_R02C01	Adygei
4461875247_R02C02	4461875247_R02C02	Adygei
4461875261_R01C01	4461875261_R01C01	Adygei
4461875261_R01C02	4461875261_R01C02	Adygei
4461875261_R02C01	4461875261_R02C01	Adygei
4461875261_R02C02	4461875261_R02C02	Adygei
4461875262_R01C01	4461875262_R01C01	Adygei
4461875262_R01C02	4461875262_R01C02	Adygei
4461875262_R02C01	4461875262_R02C01	Adygei
4461875262_R02C02	4461875262_R02C02	Adygei
4461875263_R01C02	4461875263_R01C02	Adygei
4461875263_R02C02	4461875263_R02C02	Adygei
4461875269_R01C01	4461875269_R01C01	Adygei
4461875269_R01C02	4461875269_R01C02	Adygei
4461875269_R02C01	4461875269_R02C01	Adygei
4461875276_R01C01	4461875276_R01C01	Adygei
4461875276_R01C02	4461875276_R01C02	Adygei
4461875276_R02C01	4461875276_R02C01	Adygei
4461875276_R02C02	4461875276_R02C02	Adygei
4461875278_R01C01	4461875278_R01C01	Adygei
4461875278_R01C02	4461875278_R01C02	Adygei
4461875278_R02C02	4461875278_R02C02	Adygei
4461875300_R01C01	4461875300_R01C01	Adygei
4461875300_R02C01	4461875300_R02C01	Adygei
4461875300_R02C02	4461875300_R02C02	Adygei
4461875240_R01C01	4461875240_R01C01	Kabardin
4461875240_R01C02	4461875240_R01C02	Kabardin
4461875240_R02C01	4461875240_R02C01	Kabardin
4461875240_R02C02	4461875240_R02C02	Kabardin
4461875250_R01C01	4461875250_R01C01	Kabardin
4461875250_R01C02	4461875250_R01C02	Kabardin
4461875250_R02C01	4461875250_R02C01	Kabardin
4461875250_R02C02	4461875250_R02C02	Kabardin
4461875303_R01C01	4461875303_R01C01	Kabardin
4461875303_R01C02	4461875303_R01C02	Kabardin
4461875303_R02C01	4461875303_R02C01	Kabardin
4461875303_R02C02	4461875303_R02C02	Kabardin
4461875307_R01C01	4461875307_R01C01	Kabardin
4461875307_R01C02	4461875307_R01C02	Kabardin
4461875307_R02C01	4461875307_R02C01	Kabardin
4461875308_R01C01	4461875308_R01C01	Kabardin
4461875308_R01C02	4461875308_R01C02	Kabardin
4461875308_R02C01	4461875308_R02C01	Kabardin
4461875308_R02C02	4461875308_R02C02	Kabardin
4461875325_R01C01	4461875325_R01C01	Kabardin
4461875325_R01C02	4461875325_R01C02	Kabardin
4461875325_R02C01	4461875325_R02C01	Kabardin
4461875325_R02C02	4461875325_R02C02	Kabardin
4461875326_R01C01	4461875326_R01C01	Kabardin
4461875326_R01C02	4461875326_R01C02	Kabardin
4461875326_R02C01	4461875326_R02C01	Kabardin
4461875326_R02C02	4461875326_R02C02	Kabardin
4461875329_R01C01	4461875329_R01C01	Kabardin
4461875329_R01C02	4461875329_R01C02	Kabardin
4461875329_R02C01	4461875329_R02C01	Kabardin
4461875329_R02C02	4461875329_R02C02	Kabardin
4461875330_R01C01	4461875330_R01C01	Kabardin
4461875330_R01C02	4461875330_R01C02	Kabardin
4461875330_R02C01	4461875330_R02C01	Kabardin
